City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,nuuk,64.1835,-51.7216,-7.66,73,75,3.09,GL,1733431413
298,balsta,59.5671,17.5278,-0.32,85,48,3.42,SE,1733431414
299,richards bay,-28.783,32.0377,23.61,87,96,6.24,ZA,1733431415
300,shingu,33.7333,135.9833,6.31,83,8,2.69,JP,1733431416
301,kavaratti,10.5669,72.642,27.54,77,4,4.23,IN,1733431417
302,aleksandrov gay,50.147,48.5704,-3.66,97,63,3.16,RU,1733431418
303,westport,41.1415,-73.3579,3.51,62,95,5.81,US,1733431419
304,varzea grande,-15.6467,-56.1325,29.93,62,75,4.63,BR,1733431420
305,puerto ayora,-0.7393,-90.3518,23.64,91,65,3.58,EC,1733431421
306,nova vicosa,-17.8919,-39.3719,25.15,76,22,4.51,BR,1733431422
307,an nuhud,12.7,28.4333,19.18,22,4,5.39,SD,1733431423
308,puerto baquerizo moreno,-0.9,-89.6,26.55,74,75,6.17,EC,1733431424
309,aransas pass,27.9095,-97.15,19.01,88,100,5.66,US,1733431426
310,sparti,37.0733,22.4297,12.19,98,100,0.86,GR,1733431427
311,dudinka,69.4058,86.1778,-23.96,100,100,2.07,RU,1733431428
312,la passe,45.5549,-0.8967,14.33,95,100,10.21,FR,1733431430
313,east york,39.9737,-76.6864,0.77,53,75,3.13,US,1733431431
314,puerto santa,-8.9906,-78.6456,20.33,80,93,5.02,PE,1733431433
315,smithers,54.7804,-127.1743,3.18,100,75,1.54,CA,1733431322
316,pangai,-19.8,-174.35,27.06,83,75,3.6,TO,1733431435
317,phek,25.6667,94.5,6.33,99,21,0.71,IN,1733431436
318,pruszcz gdanski,54.2622,18.6363,4.98,84,100,3.6,PL,1733431438
319,boca do acre,-8.7522,-67.3978,25.52,85,100,1.41,BR,1733431439
320,ola,59.5833,151.2833,-5.49,77,100,6.94,RU,1733431440
321,fort bragg,35.139,-79.006,16.91,28,40,5.14,US,1733431441
322,inverell,-29.7833,151.1167,22.87,90,17,0.89,AU,1733431442
323,al jawf,29.5,38.75,12.62,46,55,5.53,SA,1733431443
324,acarau,-2.8856,-40.12,26.89,75,99,6.58,BR,1733431444
325,wellington,-41.2866,174.7756,16.81,77,75,5.66,NZ,1733431445
326,kitimat,54.0524,-128.6534,5.94,31,100,1.34,CA,1733431446
327,al bawiti,28.3492,28.8659,13.99,52,93,2.03,EG,1733431448
328,san sebastian de la gomera,28.0916,-17.1133,21.2,77,0,0.51,ES,1733431449
329,morehead city,34.7229,-76.726,17.02,42,100,6.69,US,1733431450
330,cabo san lucas,22.8909,-109.9124,28.2,38,75,4.12,MX,1733431252
331,choibalsan,48.0667,114.5,-15.38,74,45,3.5,MN,1733431452
332,pacasmayo,-7.4006,-79.5714,21.33,75,71,6.97,PE,1733431454
333,pitimbu,-7.4706,-34.8086,25.81,73,6,3.57,BR,1733431456
334,la ronge,55.1001,-105.2842,-7.86,93,100,3.09,CA,1733431457
335,chagoda,59.164,35.3285,-5.63,86,100,3.5,RU,1733431459
336,quadrivio,45.0297,9.2223,2.99,96,100,0.63,IT,1733431460
337,nikol'sk,53.7189,46.0712,-9.97,96,30,2.2,RU,1733431461
338,ust'-ordynskiy,52.805,104.7508,-15.38,100,89,1.78,RU,1733431462
339,yanta,36.2411,115.6672,3.1,44,0,2.07,CN,1733431463
340,nadym,65.5333,72.5167,-16.11,92,22,5.36,RU,1733431464
341,aasiaat,68.7098,-52.8699,-10.4,84,100,2.9,GL,1733431465
342,issia,6.4922,-6.5856,22.88,42,12,1.67,CI,1733431466
343,ghanzi,-21.5667,21.7833,26.34,29,6,3.11,BW,1733431467
344,xichang,27.8964,102.2634,8.19,84,75,0.24,CN,1733431468
345,kulunda,52.566,78.9385,-13.08,94,13,3.17,RU,1733431469
346,arraial do cabo,-22.9661,-42.0278,22.98,88,100,2.57,BR,1733431470
347,toccoa,34.5773,-83.3324,10.8,26,0,4.12,US,1733431471
348,hasaki,35.7333,140.8333,11.22,48,0,2.79,JP,1733431472
349,banes,20.9625,-75.7186,23.88,80,100,4.35,CU,1733431473
350,jieshi,22.8134,115.8257,18.0,86,0,4.87,CN,1733431474
351,francisco sa,-16.4758,-43.4883,23.64,60,60,2.62,BR,1733431475
352,carnarvon,-24.8667,113.6333,20.95,71,4,10.42,AU,1733431476
353,monze,-16.2833,27.4833,25.41,26,6,1.17,ZM,1733431477
354,dalai,45.5,124.3,-14.03,95,54,3.05,CN,1733431479
355,nagykanizsa,46.4535,16.991,-3.23,81,23,1.24,HU,1733431480
356,tazovsky,67.4667,78.7,-17.91,97,100,3.68,RU,1733431481
357,irbit,57.6705,63.071,-5.18,72,91,5.17,RU,1733431482
358,tarawa,1.419,172.984,30.05,74,75,7.2,KI,1733431483
359,al wajh,26.2455,36.4525,18.97,48,0,1.54,SA,1733431484
360,altai,46.3722,96.2583,-14.67,88,6,1.46,MN,1733431485
